year,score,president,party
179001,0.329589094366,Washington,none
179012,0.222694398476,Washington,none
179110,0.205162027969,Washington,none
179211,0.170430090708,Washington,none
179312,0.0702701619378,Washington,none
179411,0.0730391308636,Washington,none
179512,0.201652941725,Washington,none
179612,0.163220586477,Washington,none
179711,0.150595479561,Adams,Federalist
179812,0.171898495733,Adams,Federalist
179912,0.228848854921,Adams,Federalist
180011,0.29703706591,Adams,Federalist
180112,0.167622071962,Jefferson,Democratic-Republican
180212,0.151544478264,Jefferson,Democratic-Republican
180310,0.152659496287,Jefferson,Democratic-Republican
180411,0.113115833911,Jefferson,Democratic-Republican
180512,0.101323628057,Jefferson,Democratic-Republican
180612,0.171417410373,Jefferson,Democratic-Republican
180710,0.0941602620551,Jefferson,Democratic-Republican
180811,0.160673568612,Jefferson,Democratic-Republican
180911,0.0911038382298,Madison,Democratic-Republican
181012,0.191107178504,Madison,Democratic-Republican
181111,0.11026829613,Madison,Democratic-Republican
181211,0.0440095106299,Madison,Democratic-Republican
181312,0.0817468871159,Madison,Democratic-Republican
181409,0.0795301870145,Madison,Democratic-Republican
181512,0.288138765768,Madison,Democratic-Republican
181612,0.197044879135,Madison,Democratic-Republican
181712,0.231163553486,Monroe,Democratic-Republican
181811,0.0795044184242,Monroe,Democratic-Republican
181912,0.135838108732,Monroe,Democratic-Republican
182011,0.21640256609,Monroe,Democratic-Republican
182112,0.108434327677,Monroe,Democratic-Republican
182212,0.184646199904,Monroe,Democratic-Republican
182312,0.187738216609,Monroe,Democratic-Republican
182412,0.168449545892,Monroe,Democratic-Republican
182512,0.194489789419,Adams,Democratic-Republican
182612,0.168915771441,Adams,Democratic-Republican
182712,0.180742776954,Adams,Democratic-Republican
182812,0.185141819837,Adams,Democratic-Republican
182912,0.16670985447,Jackson,Democrat
183012,0.151584892801,Jackson,Democrat
183112,0.185484798553,Jackson,Democrat
183212,0.18458952836,Jackson,Democrat
183312,0.198891381618,Jackson,Democrat
183412,0.111244607011,Jackson,Democrat
183512,0.131481627979,Jackson,Democrat
183612,0.113417197386,Jackson,Democrat
183712,0.171539055562,Buren,Democrat
183812,0.143541294755,Buren,Democrat
183912,0.0973199729553,Buren,Democrat
184012,0.119413570245,Buren,Democrat
184112,0.142297407796,Tyler,Whig
184212,0.117529051809,Tyler,Whig
184312,0.130106140215,Tyler,Whig
184412,0.132042111196,Tyler,Whig
184512,0.148987667871,Polk,Democrat
184612,0.10529980452,Polk,Democrat
184712,0.0869769164409,Polk,Democrat
184812,0.116029560754,Polk,Democrat
184912,0.206341190984,Taylor,Whig
185012,0.148978204215,Fillmore,Whig
185112,0.121704510935,Fillmore,Whig
185212,0.131891398966,Fillmore,Whig
185312,0.180723118117,Pierce,Democrat
185412,0.0785869642351,Pierce,Democrat
185512,0.0567278512571,Pierce,Democrat
185612,0.0933413510475,Pierce,Democrat
185712,0.0810181071322,Buchanan,Democrat
